"Season","Conference","Player","Team","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
2021,"All Division I","Caitlyn Mitros","Albany",0.369,0.421,0.387,0.809,38,124,111,20,41,2,0,0,9,0,10,22,11,1
2021,"All Division I","Calie Burris","Abilene Christian",0.282,0.358,0.528,0.887,47,159,142,18,40,11,0,8,30,2,15,21,3,2
2021,"All Division I","Cam Ybarra","Nebraska",0.298,0.336,0.461,0.797,44,152,141,12,42,11,0,4,27,0,9,9,3,2
2021,"All Division I","Cameren Swafford","Chattanooga",0.163,0.306,0.359,0.665,37,116,92,10,15,3,0,5,12,2,17,16,0,0
2021,"All Division I","Cameron Andrews","Southern",0.313,0.355,0.365,0.72,37,124,115,15,36,4,1,0,15,4,4,8,1,2
2021,"All Division I","Cameron Beal","Southeastern Louisiana",0.195,0.326,0.221,0.547,43,96,77,15,15,0,1,0,7,1,14,27,11,3
2021,"All Division I","Cam Goodman","Southeastern Louisiana",0.322,0.367,0.458,0.825,46,133,118,28,38,2,4,2,23,2,7,21,29,1
2021,"All Division I","Cameron Lavergne","Prairie View",0.286,0.416,0.333,0.749,27,78,63,14,18,3,0,0,5,3,11,12,12,0
2021,"All Division I","Cameron Stanford","Georgia Tech",0.299,0.371,0.503,0.875,45,167,147,24,44,6,0,8,36,2,16,32,0,1
2021,"All Division I","Cameryn O'Grady","New Mexico",0.318,0.433,0.643,1.077,46,157,129,34,41,11,2,9,28,12,15,36,3,0
2021,"All Division I","Cami Sellers","Montana",0.327,0.396,0.525,0.92,49,184,162,30,53,11,0,7,32,6,13,12,2,1
2021,"All Division I","Camille Fowler","South Dakota",0.284,0.345,0.309,0.653,49,179,162,24,46,0,2,0,10,0,15,13,16,2
2021,"All Division I","Camille Navarro","Howard",0.421,0.462,0.664,1.125,30,117,107,22,45,10,2,4,19,3,6,2,14,3
2021,"All Division I","Cammie Brummitt","Oakland",0.359,0.392,0.59,0.981,43,166,156,28,56,13,1,7,29,1,8,9,0,1
2021,"All Division I","Campbell Kline","Maryland",0.253,0.301,0.356,0.657,37,93,87,10,22,0,3,1,11,1,5,15,3,2
2021,"All Division I","Camryn Dean","UNC Wilmington",0.169,0.286,0.246,0.532,32,79,65,5,11,2,0,1,7,3,8,19,2,1
2021,"All Division I","Camryn Lyman","Long Island",0.36,0.392,0.447,0.839,34,126,114,34,41,4,3,0,23,0,8,7,7,0
2021,"All Division I","Camryn Middlebrook","Stephen F. Austin",0.307,0.382,0.528,0.91,41,152,127,32,39,8,1,6,21,8,8,15,3,0
2021,"All Division I","Camryn Monteer","Bradley",0.342,0.436,0.408,0.844,41,140,120,26,41,4,2,0,11,0,20,14,7,3
2021,"All Division I","Camryn Wincher","Michigan State",0.209,0.274,0.239,0.513,32,74,67,1,14,2,0,0,6,1,5,18,0,0
2021,"All Division I","Candain Callahan","North Texas",0.212,0.281,0.279,0.56,48,123,104,15,22,4,0,1,12,1,9,15,3,0
2021,"All Division I","Candela Figueroa","Troy",0.224,0.359,0.32,0.679,47,157,125,24,28,6,3,0,15,6,21,26,10,1
2021,"All Division I","Cara McNulty","Saint Peter's",0.195,0.253,0.273,0.526,28,86,77,7,15,3,0,1,6,3,3,12,5,1
2021,"All Division I","Carlee Selle","Kent State",0.284,0.313,0.433,0.746,49,149,141,13,40,9,0,4,24,0,6,22,0,0
2021,"All Division I","Carley Barjaktarovich","Lehigh",0.471,0.508,0.521,1.028,34,131,121,36,57,4,1,0,6,0,9,7,19,4
2021,"All Division I","Carley Davis","Elon",0.256,0.356,0.289,0.645,36,104,90,10,23,3,0,0,14,1,13,12,0,1
2021,"All Division I","Carley Gaskill","Ohio State",0.263,0.372,0.425,0.797,35,99,80,9,21,7,0,2,9,1,13,17,1,0
2021,"All Division I","Carley Goetschius","Northern Illinois",0.271,0.315,0.458,0.773,55,168,155,22,42,6,1,7,31,1,9,26,1,0
2021,"All Division I","Carley Morfey","Sacramento State",0.239,0.324,0.424,0.748,34,106,92,9,22,5,0,4,17,1,11,20,0,0
2021,"All Division I","Carli Backlund","Central Connecticut",0.277,0.382,0.598,0.98,38,133,112,32,31,7,1,9,23,1,18,39,6,1
2021,"All Division I","Carli Spelhaug","Iowa State",0.32,0.394,0.487,0.881,57,221,197,52,63,9,0,8,31,4,20,27,14,0
2021,"All Division I","Carlie Brandt","Minnesota",0.13,0.32,0.21,0.53,40,131,100,17,13,2,0,2,8,2,26,28,2,1
2021,"All Division I","Carly Lucchetti","Pacific",0.28,0.33,0.387,0.717,29,100,93,13,26,7,0,1,14,0,7,7,11,1
2021,"All Division I","Carly Robinson","Eastern Kentucky",0.318,0.422,0.581,1.004,49,163,129,13,41,7,0,9,40,0,27,31,0,0
2021,"All Division I","Caroline Adair","Abilene Christian",0.111,0.182,0.173,0.355,39,89,81,12,9,2,0,1,7,5,2,27,6,0
2021,"All Division I","Caroline Baratta","Marist",0.34,0.415,0.606,1.021,27,107,94,22,32,9,2,4,11,0,12,9,10,1
2021,"All Division I","Caroline Deem","UMass",0.318,0.408,0.386,0.794,32,105,88,18,28,1,1,1,21,2,12,10,1,0
2021,"All Division I","Caroline Hudson","Liberty",0.201,0.254,0.262,0.516,57,181,164,17,33,4,0,2,21,0,12,21,1,0
2021,"All Division I","Caroline Jacobsen","Duke",0.248,0.353,0.488,0.841,54,152,125,25,31,10,1,6,25,0,22,16,3,2
2021,"All Division I","Caroline Kruger","Sacred Heart",0.318,0.38,0.488,0.869,38,142,129,27,41,8,1,4,17,2,11,27,4,0
2021,"All Division I","Caroline Spacek","Ohio",0.288,0.331,0.445,0.776,47,158,146,25,42,11,0,4,23,1,9,15,4,1
2021,"All Division I","Caroline Videtto","UMass",0.352,0.427,0.5,0.927,33,105,88,19,31,2,4,1,19,7,6,19,8,0
2021,"All Division I","Carson Fischer","Northern Colorado",0.205,0.341,0.288,0.629,32,90,73,11,15,3,0,1,14,8,7,14,2,0
2021,"All Division I","Carter Spexarth","Mississippi State",0.332,0.396,0.576,0.972,60,207,184,22,61,9,0,12,43,6,15,21,0,0
2021,"All Division I","Casey Walker","LaSalle",0.225,0.267,0.268,0.534,25,78,71,5,16,3,0,0,8,0,4,8,0,0
